my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,46,-3849.1
0,2000,46,-3868.9
0,4000,46,-3858.3
0,8000,46,-3914.5
0,12000,46,-3832.45
0,16000,46,-3855.1
1,1000,46,-3445.0
1,2000,46,-3355.45
1,4000,46,-3087.75
1,8000,46,-2606.85
1,12000,46,-2103.15
1,16000,46,-1653.05
2,1000,46,-3029.55
2,2000,46,-2899.9
2,4000,46,-2351.0
2,8000,46,-1386.95
2,12000,46,-594.05
2,16000,46,244.95
3,1000,46,-2666.0
3,2000,46,-2390.65
3,4000,46,-1789.0
3,8000,46,-530.15
3,12000,46,652.7
3,16000,46,1902.0
4,1000,46,-2415.85
4,2000,46,-1997.5
4,4000,46,-1260.7
4,8000,46,73.85
4,12000,46,1596.2
4,16000,46,3444.3
5,1000,46,-2150.65
5,2000,46,-1706.45
5,4000,46,-770.1
5,8000,46,855.85
5,12000,46,2461.1
5,16000,46,4172.8
6,1000,46,-1929.75
6,2000,46,-1441.2
6,4000,46,-520.85
6,8000,46,1392.7
6,12000,46,3351.2
6,16000,46,5235.8
7,1000,46,-1686.85
7,2000,46,-1125.55
7,4000,46,-145.65
7,8000,46,1931.1
7,12000,46,4044.25
7,16000,46,6066.85
8,1000,46,-1544.85
8,2000,46,-956.9
8,4000,46,171.7
8,8000,46,2389.05
8,12000,46,4709.0
8,16000,46,6876.95
9,1000,46,-1332.3
9,2000,46,-716.9
9,4000,46,442.45
9,8000,46,2684.2
9,12000,46,5281.75
9,16000,46,7587.55
10,1000,46,-1137.35
10,2000,46,-593.35
10,4000,46,632.95
10,8000,46,3137.75
10,12000,46,5744.65
10,16000,46,8075.0
11,1000,46,-1088.6
11,2000,46,-461.55
11,4000,46,863.6
11,8000,46,3326.15
11,12000,46,6113.35
11,16000,46,8566.4
12,1000,46,-963.85
12,2000,46,-322.9
12,4000,46,1039.55
12,8000,46,3760.55
12,12000,46,6550.2
12,16000,46,9106.05
13,1000,46,-857.4
13,2000,46,-125.15
13,4000,46,1270.7
13,8000,46,4000.95
13,12000,46,6723.35
13,16000,46,9378.5
14,1000,46,-730.35
14,2000,46,-16.4
14,4000,46,1423.45
14,8000,46,4130.6
14,12000,46,7005.05
14,16000,46,9914.5
15,1000,46,-702.45
15,2000,46,145.5
15,4000,46,1486.75
15,8000,46,4419.0
15,12000,46,7302.35
15,16000,46,10385.5
16,1000,46,-587.1
16,2000,46,173.5
16,4000,46,1670.05
16,8000,46,4614.25
16,12000,46,7603.2
16,16000,46,10538.25
17,1000,46,-496.85
17,2000,46,295.7
17,4000,46,1779.9
17,8000,46,4750.25
17,12000,46,7912.05
17,16000,46,10832.3
18,1000,46,-420.2
18,2000,46,334.5
18,4000,46,1915.3
18,8000,46,4841.75
18,12000,46,7961.55
18,16000,46,10882.05
19,1000,46,-313.35
19,2000,46,404.9
19,4000,46,1923.3
19,8000,46,5125.45
19,12000,46,8248.15
19,16000,46,11325.3
