my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,22,-2751.9
0,2000,22,-2813.15
0,4000,22,-2765.55
0,8000,22,-2777.55
0,12000,22,-2789.05
0,16000,22,-2766.3
1,1000,22,-2481.15
1,2000,22,-2312.8
1,4000,22,-2210.4
1,8000,22,-1851.85
1,12000,22,-1537.1
1,16000,22,-1218.5
2,1000,22,-2311.5
2,2000,22,-2115.35
2,4000,22,-1684.4
2,8000,22,-954.5
2,12000,22,-331.05
2,16000,22,363.45
3,1000,22,-2083.15
3,2000,22,-1847.05
3,4000,22,-1334.7
3,8000,22,-290.55
3,12000,22,592.9
3,16000,22,1779.25
4,1000,22,-1923.2
4,2000,22,-1661.85
4,4000,22,-925.55
4,8000,22,182.5
4,12000,22,1618.7
4,16000,22,2566.3
5,1000,22,-1763.0
5,2000,22,-1388.2
5,4000,22,-591.45
5,8000,22,937.8
5,12000,22,2340.4
5,16000,22,3938.75
6,1000,22,-1588.1
6,2000,22,-1206.75
6,4000,22,-281.45
6,8000,22,1408.7
6,12000,22,3225.95
6,16000,22,4784.95
7,1000,22,-1480.7
7,2000,22,-910.05
7,4000,22,79.25
7,8000,22,2049.95
7,12000,22,3735.05
7,16000,22,5831.5
8,1000,22,-1319.1
8,2000,22,-743.95
8,4000,22,226.65
8,8000,22,2358.25
8,12000,22,4425.95
8,16000,22,6453.1
9,1000,22,-1155.25
9,2000,22,-635.95
9,4000,22,548.15
9,8000,22,2676.4
9,12000,22,4985.5
9,16000,22,7130.8
10,1000,22,-1059.35
10,2000,22,-447.35
10,4000,22,713.15
10,8000,22,2963.35
10,12000,22,5260.65
10,16000,22,7981.45
11,1000,22,-979.65
11,2000,22,-255.0
11,4000,22,861.75
11,8000,22,3421.65
11,12000,22,5858.85
11,16000,22,8254.5
12,1000,22,-855.4
12,2000,22,-158.5
12,4000,22,1010.4
12,8000,22,3751.3
12,12000,22,6387.1
12,16000,22,8954.85
13,1000,22,-759.85
13,2000,22,-35.9
13,4000,22,1267.65
13,8000,22,4064.6
13,12000,22,6689.75
13,16000,22,9494.45
14,1000,22,-673.2
14,2000,22,-2.2
14,4000,22,1407.8
14,8000,22,4242.75
14,12000,22,7056.5
14,16000,22,9654.4
15,1000,22,-603.9
15,2000,22,147.5
15,4000,22,1603.35
15,8000,22,4434.2
15,12000,22,7189.65
15,16000,22,10129.95
16,1000,22,-506.0
16,2000,22,183.85
16,4000,22,1736.9
16,8000,22,4561.5
16,12000,22,7454.15
16,16000,22,10418.9
17,1000,22,-419.2
17,2000,22,322.05
17,4000,22,1873.2
17,8000,22,4710.15
17,12000,22,7788.85
17,16000,22,10652.0
18,1000,22,-368.85
18,2000,22,392.15
18,4000,22,1934.15
18,8000,22,5027.25
18,12000,22,8070.45
18,16000,22,11045.75
19,1000,22,-343.6
19,2000,22,517.05
19,4000,22,2017.05
19,8000,22,5123.7
19,12000,22,8362.85
19,16000,22,11134.75
