oppo_wait_count,oppo_hand_power,draw_pile_size,avg_score_diff
0,1000,46,3145.5
0,2000,46,3139.25
0,4000,46,3128.75
0,8000,46,3168.0
0,12000,46,3151.0
0,16000,46,3173.5
1,1000,46,2654.45
1,2000,46,2598.4
1,4000,46,2404.75
1,8000,46,2061.8
1,12000,46,1623.7
1,16000,46,1248.5
2,1000,46,2257.375
2,2000,46,2114.75
2,4000,46,1821.05
2,8000,46,1091.35
2,12000,46,455.15
2,16000,46,-293.3
3,1000,46,1927.425
3,2000,46,1730.8
3,4000,46,1253.6
3,8000,46,357.8
3,12000,46,-645.05
3,16000,46,-1648.7
4,1000,46,1639.925
4,2000,46,1379.9
4,4000,46,824.0
4,8000,46,-345.35
4,12000,46,-1574.5
4,16000,46,-2671.2
5,1000,46,1429.725
5,2000,46,1086.15
5,4000,46,454.85
5,8000,46,-844.35
5,12000,46,-2054.85
5,16000,46,-3485.9
6,1000,46,1246.675
6,2000,46,815.25
6,4000,46,166.35
6,8000,46,-1349.3
6,12000,46,-2666.95
6,16000,46,-4235.05
7,1000,46,1051.7
7,2000,46,710.75
7,4000,46,-114.25
7,8000,46,-1725.25
7,12000,46,-3258.6
7,16000,46,-4721.1
8,1000,46,890.125
8,2000,46,442.6
8,4000,46,-349.6
8,8000,46,-2047.45
8,12000,46,-3667.85
8,16000,46,-5275.0
9,1000,46,792.575
9,2000,46,382.75
9,4000,46,-541.85
9,8000,46,-2322.45
9,12000,46,-3999.3
9,16000,46,-5751.85
10,1000,46,663.2
10,2000,46,185.5
10,4000,46,-713.05
10,8000,46,-2471.1
10,12000,46,-4398.45
10,16000,46,-6014.9
11,1000,46,565.875
11,2000,46,88.45
11,4000,46,-843.75
11,8000,46,-2651.1
11,12000,46,-4618.1
11,16000,46,-6544.05
12,1000,46,488.9
12,2000,46,24.15
12,4000,46,-943.05
12,8000,46,-2887.05
12,12000,46,-4826.0
12,16000,46,-6804.0
13,1000,46,391.375
13,2000,46,-71.75
13,4000,46,-1084.55
13,8000,46,-3048.35
13,12000,46,-5058.1
13,16000,46,-6997.4
14,1000,46,356.875
14,2000,46,-171.95
14,4000,46,-1172.45
14,8000,46,-3233.15
14,12000,46,-5320.95
14,16000,46,-7347.35
15,1000,46,317.25
15,2000,46,-238.7
15,4000,46,-1291.9
15,8000,46,-3400.65
15,12000,46,-5505.1
15,16000,46,-7382.5
16,1000,46,218.9
16,2000,46,-304.6
16,4000,46,-1321.55
16,8000,46,-3564.45
16,12000,46,-5580.8
16,16000,46,-7758.75
17,1000,46,168.35
17,2000,46,-357.55
17,4000,46,-1398.15
17,8000,46,-3537.65
17,12000,46,-5680.0
17,16000,46,-7920.45
18,1000,46,163.35
18,2000,46,-407.55
18,4000,46,-1438.6
18,8000,46,-3774.65
18,12000,46,-5948.0
18,16000,46,-8110.5
19,1000,46,114.5
19,2000,46,-442.2
19,4000,46,-1569.85
19,8000,46,-3719.45
19,12000,46,-5988.5
19,16000,46,-8163.75
